Kanji,Reading,Meaning,Japanese Example,English Example
滑稽,こっけい,"funny, humorous, comical",彼は人々を滑稽に笑わせる。,He humorously makes people laugh.
国交,こっこう,diplomatic relations,国交の樹立に成功した。,Succeeded in establishing diplomatic relations.
骨董品,こっとうひん,curio,美しい骨董品を収集している。,Collecting beautiful curios.
固定,こてい,"fixation, fixing (e.g., salary, capital)",給料が固定された。,The salary has been fixed.
事柄,ことがら,"matter, thing, affair, circumstance",重要な事柄を話し合う。,Discussing important matters.
孤独,こどく,"isolation, loneliness, solitude",彼は孤独を感じている。,He feels lonely.
ことごとく,ことごとく,"altogether, entirely",計画はことごとく成功した。,The plan was entirely successful.
言付け,ことづけ,to leave a message,彼女に大事な言付けをした。,I left an important message for her.
殊に,ことに,"especially, above all",殊にその問題は深刻だ。,"Especially, that problem is serious."
粉々,こなごな,in very small pieces,ガラスが粉々に割れた。,The glass shattered into tiny pieces.
好ましい,このましい,"nice, likable, desirable",その提案は非常に好ましい。,That proposal is very desirable.
碁盤,ごばん,Go board,盲目の碁盤です。,A blind person's Go board.
個別,こべつ,particular case,個別の事例を調査する。,Investigate individual cases.
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",報告書をごまかすことは許されない。,Falsifying a report is not allowed.
細やか,こまやか,"meager, modest",細やかな生活を送る。,Live a modest life.
コマーシャル,コマーシャル,a commercial,新製品のコマーシャルが放映された。,A commercial for the new product was aired.
込める,こめる,"to include, to put into",愛情を込めて手紙を書く。,Write a letter with love.
コメント,コメント,comment,コメントを書き込む。,Write a comment.
籠もる,こもる,"to seclude oneself, to be confined in",自宅に籠もって本を読む。,Stay at home and read books.
固有,こゆう,"characteristic, tradition, peculiar",その地域固有の文化を体験する。,Experience the unique culture of the region.
暦,こよみ,"calendar, almanac",古代の暦を学ぶ。,Study ancient calendars.
凝らす,こらす,"to concentrate, to devote, to peer into",料理に凝らす趣味がある。,Have a hobby of focusing on cooking.
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",ごらんなさい（看護師が言葉を教える）。,"Look, (nurse instructing words)."
孤立,こりつ,"isolation, helplessness",会議で孤立してしまった。,Was isolated in the meeting.
懲りる,こりる,"to learn by experience, to be disgusted with",反省して懲りて、やり直すことが大事。,It's important to reflect and learn from past mistakes.
凝る,こる,"to stiffen, to harden",美術作品に凝ったデザインが斬新だ。,The intricate design on the artwork is innovative.
根気,こんき,"patience; perseverance, energy",根気良く問題を解決する。,Persistently solve problems with patience.
根拠,こんきょ,"basis, foundation",この説の根拠は十分だ。,The basis of this theory is sufficient.
混血,こんけつ,"mixed race, mixed parentage",混血の子供たちは文化を取り入れる。,Mixed-race children embrace multiple cultures.
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,コンタクトレンズを新調した。,Got new contact lenses.
昆虫,こんちゅう,"insect, bug",昆虫採集に興味がある。,Interested in collecting insects.
根底,こんてい,"root, basis, foundation",問題の根底を見極める。,Identify the root of the problem.
混同,こんどう,"confusion, mixing, merger",混同されがちな言葉の意味を理解する。,Understand the meanings of easily confused words.
コントラスト,コントラスト,contrast,画像のコントラストを調整する。,Adjust the contrast of the image.
コントロール,コントロール,control,プロジェクトをコントロールする。,Control the project.
コンパス,コンパス,compass,コンパスで方向を確認する。,Confirm the direction with a compass.
根本,こんぽん,"foundation, root, base",問題の根本を解決する。,Address the root of the problem.
財,ざい,"fortune, riches",幸せは財だけでない。,Happiness is not just wealth.
再会,さいかい,"meeting again, reunion",友人との再会を楽しみにしている。,Looking forward to meeting friends again.
災害,さいがい,"calamity, disaster, misfortune",地震が多い地域は災害対策が必要だ。,Regions prone to earthquakes require disaster prevention measures.
細菌,さいきん,"bacillus, bacterium, germ",手洗いを怠ると細菌が繁殖する。,Bacteria proliferate if you neglect to wash your hands.
細工,さいく,"work, craftsmanship, trick",手の込んだ細工が施された。,Intricate craftsmanship was applied.
採掘,さいくつ,mining,地下の鉱物を採掘する。,Mine minerals underground.
サイクル,サイクル,cycle,運動のサイクルを続ける。,Continue the cycle of exercise.
採決,さいけつ,"vote, roll call",重要な法案について採決が行われた。,A vote was taken on the crucial bill.
再建,さいけん,(temple or shrine) rebuilding,古い神社の再建計画が進んでいる。,The reconstruction plan for the old shrine is progressing.
再現,さいげん,"reproduction, return, revival",昔の生活を再現する。,Recreate life from the past.
財源,ざいげん,"source of funds, resources, finances",施設運営の財源に悩む。,Worry about the financial resources for operating facilities.
在庫,ざいこ,"stockpile, stock",倉庫にある在庫を管理する。,Manage the inventory in the warehouse.
採算,さいさん,profit,ビジネスの採算を計算する。,Calculate the profitability of the business.
サイズ,サイズ,size,新しい洋服のサイズを確認する。,Check the size of the new clothes.
再生,さいせい,"playback, regeneration, resuscitation",古い曲を再生する。,Play an old song.
財政,ざいせい,"economy, financial affairs",その国の財政は安定している。,The economy of that country is stable.
最善,さいぜん,the very best,最善の策を考える。,To come up with the best plan.
採択,さいたく,"adoption, selection, choice",新しい方針の採択が決定された。,The adoption of a new policy has been decided.
栽培,さいばい,cultivation,畑で野菜を栽培する。,To cultivate vegetables in a field.
再発,さいはつ,"return, relapse, reoccurrence",その病気は再発する可能性がある。,There is a possibility of a relapse of that illness.
細胞,さいぼう,cell,人間の身体には多くの細胞がある。,The human body has many cells.
採用,さいよう,"use, adopt",新しい技術が採用された。,The new technology has been adopted.
遮る,さえぎる,"to interrupt, to intercept, to obstruct",木の葉が光を遮っている。,The leaves of the tree are blocking the light.
さえずる,さえずる,"to sing, to chirp, to twitter",小鳥がさえずっている。,The small bird is chirping.
冴える,さえる,"to be clear, to be bright, to be skillful",冴えた頭脳を持っている。,To have a sharp intellect.
竿,さお,"rod, pole (e.g., for drying laundry)",釣り竿を持って川に行く。,To go to the river with a fishing rod.
栄える,さかえる,"to flourish, to prosper, to thrive",その町は観光地として栄えている。,The town thrives as a tourist destination.
差額,さがく,"balance, difference, margin",予算の差額を計算する。,To calculate the budget difference.
杯,さかずき,wine cup,祝杯を交わす。,To clink glasses in celebration.
逆立ち,さかだち,"handstand, headstand",逆立ちできる人は少ない。,There are few people who can do a handstand.
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",試験に合格するためにはさきに計画を立てる必要がある。,"To pass the exam, it is necessary to plan ahead."
詐欺,さぎ,"fraud, swindle",悪質な詐欺事件が発生した。,A serious fraud case has occurred.
削減,さくげん,"cut, reduction",予算を削減する必要がある。,There is a need to reduce the budget.
錯誤,さくご,mistake,その情報は錯誤を招いた。,That information led to a mistake.
作戦,さくせん,"military operations, tactics, strategy",新しい作戦を立てる。,To come up with a new strategy.
叫び,さけび,"shout, scream, outcry",大声で叫び声を上げる。,To shout loudly.
捧げる,ささげる,"to lift up, to give, to offer",祈りを捧げる。,To offer a prayer.
差し掛かる,さしかかる,"to come near to, to approach",家に差し掛かるときに雨が降り始めた。,It started raining as I approached the house.
指図,さしず,"instruction, mandate",上司から明確な指図を受けた。,Received clear instructions from the boss.
差し出す,さしだす,"to present, to submit, to hold out",誕生日プレゼントを差し出す。,To present a birthday gift.
差し支える,さしつかえる,"to interfere, to hinder",私の意見があなたの計画に差し支える。,My opinion may interfere with your plan.
授ける,さずける,"to grant, to award, to teach",知識を授ける。,To impart knowledge.
摩する,さする,"to rub, to stroke",肩を摩する。,To rub the shoulders.
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",彼女はさぞ喜んでいるだろう。,She must be very happy.
定まる,さだまる,"to become settled, to be fixed",方針が定まりました。,The policy has been established.
定める,さだめる,"to decide, to determine",目標を定める。,To set a goal.
座談会,ざだんかい,"symposium, round-table discussion",座談会に参加する。,To participate in a symposium.
雑,ざつ,"rough, crude",雑務をまとめる。,To organize miscellaneous tasks.
雑貨,ざっか,"miscellaneous goods, general goods",雑貨店で買い物をする。,To shop at a general goods store.
殺人,さつじん,murder,殺人事件が発生した。,A murder case has occurred.
察する,さっする,"to guess, to sense, to judge",彼の気持ちを察する。,To sense his feelings.
雑談,ざつだん,"chatting, idle talk",雑談を楽しむ。,To enjoy chatting.
さっと,さっと,"suddenly, smoothly",さっと書類を整理する。,To quickly organize documents.
さっぱりする,さっぱりする,to refresh,散髪してすっきりさっぱりした。,I feel refreshed after getting a haircut.
悟る,さとる,"to attain enlightenment, to understand",真理を悟る。,To realize the truth.
最中,さなか,"in the middle of, midst",最中に電話が鳴った。,The phone rang in the middle of it.
座標,ざひょう,coordinates,この地図の座標を調べてください。,Please find the coordinates on this map.
さほど,さほど,"not so, not that much",彼の話にはさほど興味がなかった。,I wasn't that interested in his story.
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,彼は仕事中にサボっていた。,He was loafing on the job during work.
様,さま,state; way (a person does something); Mr. or Mrs.,その様子を見てください。,Please observe the way he does it.
寒気,さむけ,"chill, shiver, cold",昨日は寒気がした。,I felt a chill yesterday.
侍,さむらい,samurai,古代の侍は武士道を守った。,Ancient samurais followed the way of the warrior.
さも,さも,"with gusto, with satisfaction",彼女はさも満足そうに笑った。,She smiled with satisfaction.
作用,さよう,"operation, effect, function",薬の作用が早く現れた。,The effect of the medicine showed up quickly.
さらう (こどもを～),さらう (こどもを～),to kidnap,None,None
障る,さわる,"to hinder, to interfere with, to affect",感情を障る言葉を使わないでください。,Please avoid using words that may hurt feelings.
酸,さん,acid,レモンには酸が含まれている。,Lemons contain acid.
山岳,さんがく,mountains,山岳地帯で登山を楽しむ。,Enjoy mountain climbing in mountainous areas.
参議院,さんぎいん,House of Councilors,日本の議会には参議院と衆議院がある。,Japan has the House of Councilors and the House of Representatives in its parliament.
産休,さんきゅう,maternity leave,女性は出産の後に産休を取ることができる。,Women can take maternity leave after giving birth.
サンキュー,サンキュー,thank you,サンキューと言って彼女に感謝した。,I thanked her by saying 'thank you'.
残金,ざんきん,remaining money,明細書には残金が記載されていない。,The remaining money is not listed on the statement.
産後,さんご,"postpartum, after childbirth",産後のケアが重要です。,Postpartum care is important.
残酷,ざんこく,"cruelty, harshness",動物虐待は残酷な行為です。,Animal abuse is a cruel act.
産出,さんしゅつ,"yield, produce",その地域は鉱物資源の豊富な産出地だ。,That region is a rich source of mineral resources.
参照,さんしょう,"reference, consultation, consultation",参照資料をお読みください。,Please read the reference materials.
参上,さんじょう,"calling on, visiting",上司のところへ参上した。,I called on my boss.
残高,ざんだか,"(bank) balance, remainder",残高不足でATMが使えなかった。,I couldn't use the ATM due to insufficient balance.
サンタクロース,サンタクロース,Santa Claus,サンタクロースは子供たちにプレゼントを配る。,Santa Claus gives presents to children.
桟橋,さんばし,"wharf, jetty, pier",桟橋から船を眺める。,Watch the ships from the pier.
賛美,さんび,"praise, adoration, glorification",賛美歌を歌って讃美する。,Sing hymns and praise.
山腹,さんぷく,"hillside, mountainside",山腹の斜面を登る。,Climb the mountainside slope.
産婦人科,さんふじんか,maternity and gynecology department,産婦人科での診察が必要だ。,A check-up at the maternity and gynecology department is necessary.
産物,さんぶつ,"product, result, fruit",努力の産物として成功を収めた。,Achieved success as a result of hard work.
山脈,さんみゃく,mountain range,アルプス山脈は美しい。,The Alps mountain range is beautiful.
仕上がり,しあがり,"finish, end, completion",お料理の仕上がりに満足した。,Satisfied with the finish of the dish.
仕上,しあげ,"end, finishing touches",これで仕上げとします。,Let's finish it with this.
仕上げる,しあげる,"to finish up, to complete",この作業を仕上げてから家に帰ろう。,Let's finish this task before going home.
飼育,しいく,"breeding, raising, rearing",犬を飼育するのには責任が伴う。,Keeping a dog as a pet comes with responsibility.
強いて,しいて,"to dare, to insist",強いてそれを選ばなければならない理由がある。,There is a reason why you must insist on choosing that.
シート,シート,seat; sheet,バスの中で窓際のシートに座る。,Sit by the window seat on the bus.
ジーパン,ジーパン,jeans,彼女はいつもジーパンを履いている。,She always wears jeans.
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",新しい商品を仕入れた。,Procured new merchandise.
強いる,しいる,"to force, to compel, to coerce",人を強いることはできません。,You cannot force someone to do it.
潮,しお,tide,海の潮の満ち引きを見る。,Watch the ebb and flow of the sea tide.
歯科,しか,dentistry,私は歯科に行く予定です。,I have an appointment at the dentist's.
自我,じが,"self, ego",彼の自我が強い。,He has a strong sense of self.
自覚,じかく,self-conscious,彼は自覚が足りない。,He lacks self-awareness.
仕掛,しかけ,"device, trick, mechanism",その仕掛は巧妙だ。,That device is cleverly made.
仕掛ける,しかける,"to lay, to set, to wage",トラップを仕掛ける。,To set a trap.
しかしながら,しかしながら,"however, nevertheless",彼女は忙しいが、しかしながら手伝ってくれた。,"She is busy, however, she still helped."
色彩,しきさい,color,この展示は美しい色彩を持っている。,This exhibition has beautiful colors.
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",彼らは式場で結婚式を挙げた。,They had their wedding ceremony at the ceremonial hall.
しきたり,しきたり,"custom, conventional practice, tradition",地域のしきたりを守る。,To uphold local customs.
事業,じぎょう,"project, enterprise, business",新しい事業を立ち上げた。,Started a new business.
軽蔑,けいべつ,"scorn, disdain",彼女の態度に軽蔑を示す。,To show disdain for her attitude.
経歴,けいれき,"personal history, career",彼は印象的な経歴を持っている。,He has an impressive career.
経路,けいろ,"course, route, channel",最適な経路を見つける。,To find the best route.
けがらわしい,けがらわしい,"filthy, unfair",けがらわしい行為をするな。,Don't engage in filthy deeds.
劇団,げきだん,"troupe, theatrical company",その劇団の演技は素晴らしかった。,The theatrical company's performance was wonderful.
激励,げきれい,encouragement,友人からの激励を受ける。,To receive encouragement from a friend.
ゲスト,ゲスト,guest,結婚式のゲストとして招かれた。,Invited as a guest to the wedding.
獣,けだもの,"beast, brute",その森には多くの獣が住んでいる。,Many beasts live in that forest.
決,けつ,"decision, vote",決断を下す。,To make a decision.
決意,けつい,"decision, determination",彼は強い決意を持っている。,He has a strong determination.
結核,けっかく,tuberculosis,結核予防のためのキャンペーン。,A campaign for tuberculosis prevention.
決議,けつぎ,"resolution, vote, decision",重要な決議を行う。,To make an important resolution.
結合,けつごう,"combination, union",化学反応による結合の研究。,Research on chemical reactions and bonds.
決算,けっさん,"balance sheet, settlement of accounts",会社の決算報告書を作成する。,To prepare the company's financial statements.
月謝,げっしゃ,monthly tuition fee,塾の月謝を支払う。,To pay the monthly tuition fee for cram school.
決勝,けっしょう,finals (in sports),決勝戦の勝者は誰だろうか。,Who will be the winner of the finals?
結晶,けっしょう,"crystal, crystallization",結晶化のプロセスを理解する。,To understand the process of crystallization.
結成,けっせい,formation,バンドを結成する。,To form a band.
結束,けっそく,"union, unity",団結と連帯を強化する。,To strengthen unity and solidarity.
げっそり,げっそり,"being disheartened, losing weight",疲れてげっそりしている。,Looking disheartened and tired.
決断,けつだん,"decision, determination",大きな決断をする。,To make a big decision.
月賦,げっぷ,monthly installment,商品の月賦購入ができる。,Can purchase goods on installment.
欠乏,けつぼう,shortage,栄養の欠乏が原因だ。,The lack of nutrients is the cause.
蹴飛ばす,けとばす,"to kick away, to kick (someone)",相手を蹴飛ばす。,To kick someone away.
けなす,けなす,to speak ill of,他人をけなすことはよくない。,It's not good to speak ill of others.
煙たい,けむたい,"smoky, feeling awkward",その仕事が煙たい。,That job feels awkward.
煙る,けむる,"to smoke (e.g., fire)",夜の森が煙っていた。,The forest was smoky at night.
獣,けもの,"beast, brute",その森には多くの獣が住んでいる。,Many beasts live in that forest.
家来,けらい,"retainer, retinue, servant",忠実な家来を持つ。,To have faithful retainers.
下痢,げり,diarrhea,旅行中に下痢になった。,Got diarrhea while traveling.
権威,けんい,"authority, power, influence",彼は組織内で大きな権威を持っている。,He has great authority within the organization.
兼業,けんぎょう,holding two jobs at the same time,父は会社員として兼業している。,My father is holding two jobs as an employee.
原形,げんけい,"original form, base form",文法的に誤りがあるので、原形に戻してください。,"There is a grammatical error, please revert to the original form."
原型,げんけい,"prototype, model, archetypal",この設計図はその製品の原型を示している。,This blueprint represents the prototype of the product.
権限,けんげん,"power, authority, jurisdiction",そのプロジェクトには十分な権限が必要です。,Sufficient authority is required for that project.
現行,げんこう,"present, current, in operation",この規制は現行の法律に基づいています。,This regulation is based on the current law.
健在,けんざい,"in good health, well",祖母はまだ元気で健在です。,My grandmother is still in good health.
原作,げんさく,original work,映画は有名な小説を原作としている。,The movie is based on a famous original work.
検事,けんじ,public prosecutor,彼は公職で検事を務めている。,He serves as a public prosecutor in government.
原子,げんし,atom,原子は物質の基本単位です。,An atom is the basic unit of matter.
元首,げんしゅ,"ruler, sovereign",その国の元首が来日します。,The ruler of that country will visit Japan.
原書,げんしょ,original document,翻訳をしているのはこの文献の原書です。,The original document for translation is this manuscript.
懸賞,けんしょう,"offering prizes, winning, reward",彼はそのコンテストで懸賞を獲得した。,He won a prize in that contest.
健全,けんぜん,"health, soundness, wholesome",健全な精神は健全な体に宿る。,A sound mind resides in a healthy body.
元素,げんそ,element,元素周期表には全ての元素が示されている。,The periodic table shows all the elements.
同調,どうちょう,"sympathy, agree with, alignment",意見を調整して部内の同調を図る。,Adjust opinions to achieve alignment within the team.
到底,とうてい,(cannot) possibly,今日の計画では到底間に合いません。,Today's plan cannot possibly make it on time.
動的,どうてき,"dynamic, kinetic",その企業は市場において非常に動的です。,The company is highly dynamic in the market.
尊い,とうとい,"precious, valuable, noble",彼は生涯を尊い信念に基づいて生きた。,He lived his life based on precious beliefs.
貴い,とうとい,"precious, valuable, noble",名誉ある賞を貴いと思いました。,I considered the prestigious award valuable.
同等,どうとう,"equality, equal, same rank",仕事の評価は同等条件で行われます。,Job evaluations are conducted under equal conditions.
堂々,どうどう,"magnificent, grand, impressive",彼女は堂々とした態度でスピーチを行った。,She gave a speech with a magnificent demeanor.
尊ぶ,とうとぶ,"to value, to prize, to esteem",先生の教えを深く尊んでいます。,I deeply value and respect the teacher's guidance.
どうにか,どうにか,"in some way or other, one way or another",どうにかして問題を解決しなければならない。,We must find some way to solve the problem.
投入,とうにゅう,"throw, investment, making (an electrical circuit)",次のプロジェクトに多くの資金を投入する。,Invest a large amount of funds in the next project.
導入,どうにゅう,"introduction, bringing in, leading in",新しい技術を迅速に導入する必要がある。,There is a need to quickly introduce new technology.
当人,とうにん,"the one concerned, the said person",この問題の関係者で当人に確認を取る。,Obtain confirmation from the person concerned in this issue.
同封,どうふう,"enclosure (e.g., in a letter)",書類を送る際、必ず写真を同封してください。,"When sending documents, please remember to enclose a photo."
逃亡,とうぼう,escape,犯人は警察から逃亡した。,The criminal escaped from the police.
