Kanji,Reading,Meaning,Japanese Example,English Example
しかも,しかも,"moreover, furthermore, besides, plus",彼は頭がいい。しかも、スポーツも得意だ。,"He is smart. Moreover, he is good at sports."
四季,しき,four seasons,日本は四季がはっきりしている。,Japan has distinct four seasons.
直,じき,"immediately, soon, shortly",その案件には直に対処する必要がある。,We need to deal with the matter directly.
時期,じき,"time, season, period",引っ越しをする良い時期を見つける。,Find a good time to move.
支給,しきゅう,"payment, allowance",給与が支給されました。,The salary was paid.
至急,しきゅう,"urgent, pressing",至急、医者の診察を受ける必要があります。,It is urgent that you see a doctor immediately.
しきりに,しきりに,"frequently, repeatedly, eagerly",彼はしきりにその話を繰り返した。,He frequently repeated the story.
刺激,しげき,"stimulus, impetus, incentive",新しいアイデアが創造性を刺激する。,New ideas stimulate creativity.
資源,しげん,resources,再生可能なエネルギー資源を活用する。,Utilize renewable energy resources.
事件,じけん,"event, affair, incident",その事件は大きな議論を巻き起こした。,The incident sparked a big debate.
時刻,じこく,"time, hour",会議の時刻を確認する。,Check the time of the meeting.
自殺,じさつ,suicide,自殺は決して解決策ではない。,Suicide is never a solution.
事実,じじつ,"fact, truth, reality",その文書には事実と異なる部分がある。,The document has parts that are different from the truth.
支出,ししゅつ,"expenditure, expenses",月々の支出を管理する必要がある。,It is necessary to manage monthly expenses.
事情,じじょう,"circumstances, situation, reasons",彼女の行動は事情を説明している。,Her actions explain the circumstances.
詩人,しじん,poet,この国の詩人たちは才能豊かだ。,The poets in this country are talented.
自身,じしん,oneself,自身の力を信じてください。,Believe in your own abilities.
沈む,しずむ,to sink; to feel depressed,彼は失敗した時、気持ちが沈んだ。,He felt depressed when he failed.
自然,しぜん,"nature, spontaneous",自然の美しさに魅了される。,I am fascinated by the beauty of nature.
思想,しそう,"thought, idea",彼女は独自の思想を持っている。,She has her own ideas.
舌,した,tongue,舌を出してください。,Please stick out your tongue.
次第,しだい,order; circumstances; immediate(ly),天候次第で、予定が変わる。,"Depending on the weather, the schedule may change."
従う,したがう,"to abide (by the rules), to obey",部屋の規則に従ってください。,Please abide by the rules of the room.
したがって,したがって,"therefore, consequently",天気予報によると、明日は雨が降るということだ。したがって、傘を持って行くべきだ。,"According to the weather forecast, it will rain tomorrow. Therefore, you should bring an umbrella."
親しい,したしい,"intimate, close (e.g., friend)",彼女は親しい友達です。,She is a close friend.
質,しつ,"quality, nature (of person)",製品の質を確認してください。,Please check the quality of the product.
失業,しつぎょう,unemployment,失業者の数が増えている。,The number of unemployed people is increasing.
湿気,しっけ,"moisture, humidity, dampness",湿気の多い日は髪の毛が広がる。,"On humid days, hair tends to frizz."
実験,じっけん,lab work; experiment,実験結果をまとめてください。,Please summarize the experimental results.
実現,じつげん,"implementation, materialization, realization",夢が実現する日が来る。,The day when dreams come true will come.
実行,じっこう,"practice, execution (e.g., program), realization",計画を実行する準備が整った。,Preparations to implement the plan are complete.
実際,じっさい,in fact; in actuality,選挙で実際の支持率がわかる。,The actual approval rating will be known in the election.
実施,じっし,"enforcement, carry out, operation",イベントの実施日が変更になりました。,The date of the event implementation has been changed.
湿度,しつど,humidity,湿度が高いと体が重く感じる。,High humidity makes the body feel heavy.
じっと,じっと,"patiently, quietly",子供たちはじっとしていられない。,Children can't sit still.
実に,じつに,"indeed, truly, surely",実に興味深い本だった。,It was a truly interesting book.
実は,じつは,actually; in fact,実は、それは私のミスです。,"Actually, that was my mistake."
失望,しつぼう,"disappointment, despair",彼女は失望のあまり泣いた。,She cried in disappointment.
実力,じつりょく,ability; force,実力を試すチャンスがやってきた。,The opportunity to test one's abilities has come.
支店,してん,branch store (office),そのフランチャイズは新しい支店をオープンした。,The franchise opened a new branch.
指導,しどう,"leadership, guidance, coaching",彼は部下に的確な指導を行った。,He provided precise guidance to his subordinates.
自動,じどう,"automatic, self-motion",この車は自動ドアがついている。,This car has automatic doors.
児童,じどう,"children, juvenile",この施設は児童向けのプログラムを提供している。,This facility offers programs for children.
品,しな,"thing, article, goods",彼の品は一級だ。,His goods are first-rate.
支配,しはい,"rule, control, direction",彼は会社を完全に支配している。,He fully controls the company.
芝居,しばい,"play, drama",その芝居には感動した。,I was moved by that play.
しばしば,しばしば,"often, again and again, frequently",彼はしばしばその店に行く。,He often goes to that store.
芝生,しばふ,lawn,公園には広い芝生が広がっている。,The park has a wide lawn.
支払,しはらい,payment,支払い方法を選んでください。,Please choose a payment method.
支払う,しはらう,to pay,商品を受け取った後で支払ってください。,Please pay after receiving the goods.
死亡,しぼう,death,事故で数名の死亡者が出た。,Several people died in the accident.
資本,しほん,"funds, capital",新会社に投資資本を提供する。,Provide investment capital to the new company.
姉妹,しまい,sisters,彼らは仲の良い姉妹です。,They are close sisters.
しまった (かん),しまった (かん),Damn it!,しまった！かんけいないんでした。,Damn it! It wasn't my fault.
自慢,じまん,"pride, boast",彼は自分の子供の成績を自慢している。,He boasts about his child's grades.
地味,じみ,"quiet, plain, conservative",彼女の服装はいつも地味だ。,Her outfits are always understated.
示す,しめす,"to show, to indicate",その数字は答えを示している。,That number is indicating the answer.
占める,しめる,to take up; to account for,市場でのシェアを占める。,To account for market share.
湿る,しめる,"to be wet, to be damp",服が雨で湿っている。,The clothes are damp from the rain.
下,しも,"under, below, beneath",テーブルの下に本を置いた。,I put the book under the table.
霜,しも,frost,朝に畑に霜が降りた。,There was frost on the field in the morning.
借金,しゃっきん,"debt, loan, liabilities",彼は借金を返済している。,He is repaying his debt.
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",友達と楽しくしゃべる。,To chat with friends.
週,しゅう,week,週の最後は金曜日だ。,Friday is the end of the week.
州,しゅう,"state, province",アメリカの州は50あります。,There are 50 states in the United States.
銃,じゅう,gun,警官には銃が必要だ。,Police officers need guns.
周囲,しゅうい,"surroundings, circumference, environs",周囲に気を配る。,To pay attention to one's surroundings.
収穫,しゅうかく,"harvest, crop, ingathering",収穫祭は楽しい行事だ。,The harvest festival is a fun event.
宗教,しゅうきょう,religion,様々な宗教が存在する。,There are various religions in the world.
重視,じゅうし,"importance, stress",効率を重視する。,To place importance on efficiency.
就職,しゅうしょく,finding employment,良い就職先を見つける。,To find a good job.
ジュース,ジュース,"juice, soft drink; deuce",オレンジジュースを飲む。,Drink orange juice.
修正,しゅうせい,"amendment, correction",誤りを修正する。,To correct mistakes.
重体,じゅうたい,"seriously ill, critical state",父は重体だ。,My father is in critical condition.
渋滞,じゅうたい,"congestion (e.g., traffic), delay",朝の通勤時間は渋滞する。,There is traffic congestion during the morning commute.
重大,じゅうだい,"serious, important",重大な問題が発生した。,A serious problem occurred.
住宅,じゅうたく,"resident, housing",新しい住宅を建てる。,To build a new residence.
集団,しゅうだん,"group, mass",集団で活動する。,To work in a group.
集中,しゅうちゅう,"concentration, focusing the mind",集中力を鍛える。,To train concentration.
収入,しゅうにゅう,"income, revenue",安定した収入を得る。,To earn a stable income.
住民,じゅうみん,"inhabitants, residents",この地域の住民は親切だ。,The residents of this area are kind.
重要,じゅうよう,"important, essential",計画の成功には重要だ。,It is important for the success of the plan.
修理,しゅうり,"repairing, mending",自転車を修理する。,To repair a bicycle.
主義,しゅぎ,"doctrine, cause, principle",平和主義を信奉する。,To advocate pacifism.
宿泊,しゅくはく,lodging,ホテルで宿泊する。,To stay overnight at a hotel.
手術,しゅじゅつ,surgical operation,手術が成功した。,The surgery was successful.
首相,しゅしょう,Prime Minister,新しい首相が就任した。,A new prime minister has taken office.
手段,しゅだん,"means, way, measure",解決策を考える手段を考える。,To think of ways to find a solution.
主張,しゅちょう,"claim, insistence, assertion",自分の意見を主張する。,To assert one's opinion.
出場,しゅつじょう,participation,大会に出場する。,To participate in a competition.
出身,しゅっしん,come from,彼はロンドン出身だ。,He is from London.
出版,しゅっぱん,publication,新しい本を出版する。,To publish a new book.
首都,しゅと,capital city,東京は日本の首都だ。,Tokyo is the capital of Japan.
主婦,しゅふ,housewife,主婦業は大変だけれど、やり甲斐がある。,"Being a housewife is hard work, but rewarding."
主要,しゅよう,"chief, main",主要なポイントを抑える。,To grasp the main points.
需要,じゅよう,demand,需要と供給のバランスを取る。,To balance supply and demand.
種類,しゅるい,"variety, kind",このお店の種類は豊富だ。,The variety of this store is abundant.
順,じゅん,"order, turn",次は私の順番です。,Next is my turn.
瞬間,しゅんかん,"moment, second",彼は瞬間的な判断を下した。,He made a momentary decision.
順調,じゅんちょう,doing well,仕事は順調に進んでいます。,The work is progressing smoothly.
順番,じゅんばん,"turn (in line), order of things",待っている人たちの順番です。,It's the turn of the people waiting.
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",この製品の使用方法を知っていますか？,Do you know how to use this product?
小,しょう,small,その小さな部屋にたくさんの本がある。,There are many books in that small room.
章,しょう,"chapter, section; medal",この本の新しい章を読んでください。,Please read the new chapter of this book.
賞,しょう,"prize, award",彼はその大会で賞を受賞した。,He won an award at the competition.
上,じょう,first volume; superior quality; governmental,上質な材料を使用しています。,We are using high-quality materials.
障害,しょうがい,"obstacle, impediment",彼は障害を乗り越えて成功した。,He overcame obstacles and succeeded.
奨学金,しょうがくきん,scholarship,彼は奨学金を受けて大学に行った。,He went to university on a scholarship.
乗客,じょうきゃく,passenger,電車にはたくさんの乗客がいた。,There were many passengers on the train.
上京,じょうきょう,proceeding to the capital (Tokyo),彼は東京に上京した。,He moved to Tokyo.
状況,じょうきょう,"state of affairs, situation",その会議の状況を報告してください。,Please report on the situation of the meeting.
条件,じょうけん,"conditions, terms",契約にはいくつかの条件があります。,There are several conditions in the contract.
正午,しょうご,"noon, mid-day",バスは正午に出発します。,The bus departs at noon.
正直,しょうじき,"honesty, integrity, frankness",彼は正直な人です。,He is an honest person.
常識,じょうしき,common sense,その行動は常識的ではありません。,That behavior is not common sense.
少女,しょうじょ,young girl,公園で少女たちが遊んでいる。,The young girls are playing in the park.
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),少々お待ちください。,Please wait a moment.
症状,しょうじょう,"symptoms, condition",彼の病気の症状がひどくなった。,His illness symptoms worsened.
生じる,しょうじる,"to occur, to arise, to be generated",問題が生じた場合にはお知らせください。,Please inform us if any problems arise.
状態,じょうたい,"condition, situation",設備の状態を確認してください。,Please check the condition of the equipment.
上達,じょうたつ,"improvement, advance",勉強の成績が上達した。,His study grades have improved.
冗談,じょうだん,a joke,彼は面白い冗談を言った。,He made a funny joke.
上等,じょうとう,"first class, very good",このレストランのサービスは上等だ。,The service at this restaurant is excellent.
衝突,しょうとつ,"collision, conflict",その二つの車は衝突した。,The two cars collided.
商人,しょうにん,"trader, shopkeeper, merchant",古い町には多くの商人がいる。,There are many merchants in the old town.
承認,しょうにん,"recognition, approval",申請書に承認印を押してください。,Please stamp your approval on the application form.
少年,しょうねん,"boys, juveniles",公園で少年たちがサッカーをしている。,The boys are playing soccer in the park.
商売,しょうばい,"trade, business, commerce",父は昔から商売をしている。,My father has been in business for a long time.
消費,しょうひ,"consumption, expenditure",エネルギー消費を減らす方法を考える。,Think of ways to reduce energy consumption.
商品,しょうひん,"commodity, merchandise",この店では安全な商品のみを販売しています。,This store sells only safe products.
賞品,しょうひん,"prize, trophy",大会で賞品を獲得した。,Won a prize at the competition.
消防,しょうぼう,"fire fighting, fire department",火災の消防訓練を行う。,Conduct fire fighting drills.
情報,じょうほう,"information, (military) intelligence",その情報は機密事項です。,That information is confidential.
証明,しょうめい,"proof, verification",証明書を取得する手続きを行ってください。,Please go through the process of obtaining a certificate.
省略,しょうりゃく,"omission, abbreviation, abridgment",長い文章を省略して要点を述べる。,Summarize the main points by omitting long sentences.
女王,じょおう,queen,彼女はその国の女王です。,She is the queen of the country.
職,しょく,employment,彼は新しい職を見つけた。,He found a new job.
職業,しょくぎょう,"occupation, business",父の職業は医者です。,My father's occupation is a doctor.
食卓,しょくたく,dining table,家族で食卓を囲んで食事を楽しんだ。,The family enjoyed a meal around the dining table.
食品,しょくひん,foodstuff,スーパーで食品を買いました。,I bought foodstuff at the supermarket.
植物,しょくぶつ,"plant, vegetation",庭に美しい植物がたくさんあります。,There are many beautiful plants in the garden.
食物,しょくもつ,"food, foodstuff",バランスの取れた食物を摂取することが大切です。,It is important to consume a balanced diet.
食欲,しょくよく,appetite (for food),彼女は食欲が旺盛だ。,She has a hearty appetite.
食料,しょくりょう,food,飢えた人々に食料を提供する。,Provide food to the hungry.
食糧,しょくりょう,"provisions, rations",災害時には食糧の備蓄が大切だ。,Stockpiling provisions is important during disasters.
書斎,しょさい,"study, den",彼の書斎は本で溢れていた。,His study room was overflowing with books.
女子,じょし,"woman, girl",学校の女子寮に住んでいる。,She lives in the school's girls' dormitory.
助手,じょしゅ,"helper, assistant",彼は有能な助手を雇った。,He hired a competent assistant.
徐々に,じょじょに,"slowly, little by little",彼女は徐々に回復している。,She is gradually recovering.
署名,しょめい,signature,書類に署名する必要があります。,You need to sign the document.
書物,しょもつ,books,大学でたくさんの書物を読む。,I read many books at university.
女優,じょゆう,actress,彼女は有名な女優だ。,She is a famous actress.
処理,しょり,"processing, treatment, disposition",問題について処理を行う。,Deal with the issue.
書類,しょるい,"documents, official papers",書類を提出しなければなりません。,You must submit the documents.
知らせ,しらせ,notice,大事な知らせが入っている。,There is important news in the notice.
尻,しり,"buttocks, bottom",座っていると尻が痛い。,My buttocks hurt from sitting.
知合い,しりあい,acquaintance,彼とは昔からの知合いだ。,He is an old acquaintance.
印,しるし,mark; symbol; evidence,重要な箇所に印をつける。,Mark important sections with a symbol.
城,しろ,castle,城の壁を登った。,Climbed the walls of the castle.
進学,しんがく,going on to university,進学するために頑張っている。,Working hard to advance to university.
神経,しんけい,"nerve, sensitivity",彼は神経質な性格だ。,He has a nervous personality.
真剣,しんけん,"seriousness, earnestness",真剣に取り組むことが大切だ。,It is important to approach it seriously.
信仰,しんこう,"(religious) faith, belief",彼は信仰心が厚い。,He has strong faith.
信号,しんごう,"traffic lights, signal, semaphore",信号を守って横断歩道を渡る。,Cross the pedestrian crossing obeying the traffic lights.
人工,じんこう,"artificial, man made, human work,",この池は人工の作られたものです。,This pond is man-made.
深刻,しんこく,serious,問題は深刻な状況になっている。,The situation has become serious.
診察,しんさつ,medical examination (of a patient),医者による診察が必要だ。,Medical examination by a doctor is necessary.
人種,じんしゅ,race (of people),人種差別は許されない。,Racial discrimination is not tolerated.
信じる,しんじる,to believe,自分を信じることが大切だ。,It is important to believe in oneself.
人生,じんせい,"(human) life (e.g., conception to death)",人生は冒険だ。,Life is an adventure.
親戚,しんせき,relative(s),親戚が家を訪ねてきた。,Relatives visited the house.
新鮮,しんせん,fresh,新鮮な野菜を買う。,Buy fresh vegetables.
心臓,しんぞう,heart,運動すると心臓が速くなる。,Heart rate increases with exercise.
身体,しんたい,the body,毎日運動して、身体を健康に保つ。,Exercise daily to keep your body healthy.
身長,しんちょう,"height (of body), stature",彼は身長が高い。,He is tall in stature.
慎重,しんちょう,"careful, prudent, cautious",決断する際は慎重に行動する。,Act carefully when making decisions.
審判,しんぱん,"umpire, referee, judgment",テニスの試合には審判が必要です。,A tennis match requires an umpire.
人物,じんぶつ,"character, personality, talented man",彼は非常に才能のある人物です。,He is a very talented individual.
進歩,しんぽ,"improvement, progress, development",技術の進歩に驚いています。,I am amazed by the progress in technology.
親友,しんゆう,"close friend, buddy",彼女は私の親友です。,She is my close friend.
信用,しんよう,"confidence, dependence",ビジネスでは信用が非常に重要です。,Credibility is crucial in business.
信頼,しんらい,"reliance, trust, confidence",家族はお互いを信頼しています。,Family members trust each other.
心理,しんり,mentality,心理学の研究が興味深いです。,The study of psychology is fascinating.
人類,じんるい,"mankind, humanity",人類の歴史を学ぶ。,Studying the history of mankind.
巣,す,"nest, breeding place",鳥の巣が木の上にあります。,There is a bird's nest on the tree.
酢,す,vinegar,サラダに酢をかけます。,I put vinegar on the salad.
図,ず,"figure, drawing, illustration",地図を見て道を探す。,Looking at the map to find the way.
水準,すいじゅん,"level, standard",そのテストの水準は高いです。,The level of that test is high.
推薦,すいせん,recommendation,彼を新しいポジションに推薦しました。,I recommended him for the new position.
スイッチ,スイッチ,switch,電気スイッチを入れてください。,Please turn on the light switch.
睡眠,すいみん,sleep,十分な睡眠をとることが重要です。,Getting enough sleep is important.
数,すう,"number, figure",数学の問題を解く。,Solving math problems.
数字,すうじ,"numeral, figure",数字を覚えるのが得意です。,I am good at memorizing numbers.
スープ,スープ,(Western) soup,昼食にスープを飲む。,Having soup for lunch.
末,すえ,"the end of, powder",道の末で待っています。,I will be waiting at the end of the road.
姿,すがた,"figure, shape, appearance",その動物の姿を見つけました。,I found the figure of that animal.
スキー,スキー,ski,冬にはスキーに行きます。,I go skiing in the winter.
救う,すくう,"to rescue from, to help out of",人々を救うために尽力する。,Striving to save people.
すくなくとも,すくなくとも,at least,すくなくとも一回は試してみて。,At least try it once.
優れる,すぐれる,"to surpass, to outstrip, to excel",彼は才能が優れています。,He has exceptional talent.
スケート,スケート,"skate(s), skating",冬になるとスケートをします。,I skate in the winter.
スケジュール,スケジュール,schedule,スケジュールを確認してください。,Please check the schedule.
少しも,すこしも,"anything of, not one bit",少しも心配することはありません。,There is nothing to worry about at all.
過ごす,すごす,"to pass, to spend (time)",週末を友人と過ごします。,I spend the weekend with friends.
筋,すじ,"muscle, string, line",筋肉を鍛える。,Training the muscles.
進める,すすめる,"to advance, to promote, to hasten",計画を進める必要があります。,We need to advance the plan.
勧める,すすめる,"to urge (someone) to do (something), to recommend",新しいレストランを勧められた。,Was recommended a new restaurant.
スター,スター,star,昨夜、スターを見ることができました。,"Last night, I could see the stars."
スタイル,スタイル,style,彼女のスタイルはユニークです。,Her style is unique.
スタンド,スタンド,stand,スポーツイベントでスタンド席に座る。,Sitting in the stands at a sports event.
頭痛,ずつう,headache,頭痛がひどくて眠れない。,The headache is so bad I can't sleep.
ずっと,ずっと,for a long time; all the time; consecutively,あなたのことをずっと愛しています。,I have loved you for a long time.
すっぱい,すっぱい,"sour, acid",そのレモンはとてもすっぱい。,That lemon is very sour.
すてき,すてき,"lovely, great",彼女はとてもすてきな人です。,She is a lovely person.
既に,すでに,already (same as もう),既にその本を読み終えました。,I have already finished reading that book.
すなわち,すなわち,"that is, namely, e.g.",彼女は大学生、すなわち学生です。,"She is a university student, in other words, a student."
スピーチ,スピーチ,speech,彼のスピーチはとても感動的だった。,His speech was very moving.
全て,すべて,"all, the whole, entirely",全ての人が幸せでありますように。,May everyone be happy.
済ませる,すませる,to be finished,宿題を済ませた後、遊びに行きましょう。,Let's go play after finishing the homework.
角,すみ,corner,箱の角に何かがあるようです。,There seems to be something at the corner of the box.
墨,すみ,ink,書道では墨を使って文字を書きます。,"In calligraphy, we write characters using ink."
すみません (かん),すみません (かん),"sorry, excuse me",すみません、お手伝いいただけませんか？,"Excuse me, could you help me?"
澄む,すむ,"to clear (e.g., weather), to become transparent",湖の水が澄んでいる。,The water in the lake is clear.
清む,すむ,"to clear (e.g., weather), to become transparent",空気が清んできた。,The air has cleared up.
刷る,する,to print,新聞を刷るために印刷機が使われています。,Printing machines are used to print newspapers.
為る,する,"to do, to attempt",最善を尽くすことが大切です。,It is important to do one's best.
鋭い,するどい,"pointed, sharp",彼の観察力はとても鋭い。,His observational skills are very sharp.
すれ違う,すれちがう,to pass by one another,駅で古い友人とすれ違った。,I passed by an old friend at the station.
ずれる,ずれる,"move, off the point",議論が話題からずれている。,The discussion is off topic.
正,せい,"(logical) true, regular",その理論は正しいです。,That theory is correct.
生,せい,birth,新しい命が誕生した。,A new life was born.
性,せい,"sex, gender",性別に関係なく、誰もが平等です。,"Regardless of gender, everyone is equal."
姓,せい,"surname, family name",名前の前に姓を書いてください。,Please write your surname before your first name.
所為,せい,"cause, reason, fault",自分の所為を認めることが大切だ。,It is important to acknowledge one's own fault.
税,ぜい,tax,給料から税金が天引きされる。,Tax is deducted from the salary.
性格,せいかく,"character, personality",彼の性格は明るいです。,His personality is bright.
正確,せいかく,"accurate, punctuality, exact",予定を正確に守ることが大事だ。,It is important to keep to the schedule accurately.
世紀,せいき,century,この建物は17世紀に建てられた。,This building was constructed in the 17th century.
請求,せいきゅう,"claim, demand, request",請求書を送付いたしました。,We have sent the invoice.
税金,ぜいきん,"tax, duty",毎年課税される税金があります。,There are taxes that are levied every year.
清潔,せいけつ,clean,清潔な環境は健康に良いです。,A clean environment is good for health.
制限,せいげん,"restriction, restraint, limitation",速度制限を守る必要があります。,It is necessary to obey the speed limit.
成功,せいこう,"success, hit",努力の末、成功を掴み取った。,"Through hard work, he achieved success."
正式,せいしき,"official, formal",正式な文書を送付しました。,We have sent the formal document.
性質,せいしつ,"nature, property, disposition",その植物の性質は丈夫です。,The nature of that plant is sturdy.
精神,せいしん,"mind, soul, spirit",健康な精神は健康な体を育む。,A healthy mind nurtures a healthy body.
成人,せいじん,adult,18歳になると成人になります。,"When you turn 18, you become an adult."
精々,せいぜい,"at the most, at best",精々の努力を重ねていきます。,We will make our best efforts.
成績,せいせき,"grade (i.e., on a test), academic record",今学期の成績はとても良かった。,The grades for this semester were very good.
製造,せいぞう,"manufacture, production",自動車の製造工程は複雑です。,The manufacturing process of automobiles is complex.
贅沢,ぜいたく,"luxury, extravagance",時々、贅沢をしてもいいです。,It's okay to indulge oneself occasionally.
成長,せいちょう,growth,子どもたちの成長を見守っている。,I am watching over the growth of the children.
生長,せいちょう,growth,None,None
制度,せいど,"system, institution",新しい社会制度を導入する。,Implement a new social system.
青年,せいねん,"youth, young man",彼はまだ若い青年です。,He is still a young man.
生年月日,せいねんがっぴ,birth date,履歴書に生年月日を記入してください。,Please write your date of birth on the resume.
製品,せいひん,"manufactured goods, finished goods",この製品は高品質です。,This product is of high quality.
政府,せいふ,"government, administration",政府は新しい政策を導入しました。,The government has implemented a new policy.
生物,せいぶつ,"living thing, organism",生物の多様性を保護するために取り組んでいます。,We are working to protect the diversity of living organisms.
生命,せいめい,life,生命を尊重することは重要です。,It is important to respect life.
整理,せいり,"sorting, arrangement",机の整理をする時間が必要です。,I need time to organize my desk.
咳,せき,cough,咳がひどいときは医者に診てもらいましょう。,"If you have a severe cough, see a doctor."
石炭,せきたん,coal,石炭は古くからエネルギー源として使われてきました。,Coal has been used as an energy source for a long time.
責任,せきにん,"duty, responsibility",自分の責任を果たすことが重要です。,Fulfilling your responsibilities is important.
石油,せきゆ,"oil, petroleum, kerosene",石油は多くの製品に使用されています。,Oil is used in many products.
世間,せけん,"world, society",世間の様々な問題を考える。,Thinking about various issues in society.
説,せつ,theory,新しい説が提唱されています。,A new theory has been proposed.
積極的,せっきょくてき,"positive, active, proactive",積極的な態度で取り組む。,Approach it with a positive attitude.
設計,せっけい,"plan, design",建物の設計図を作成する。,Create a blueprint for the building design.
絶対,ぜったい,"definitely, without fail, absoluteness",その答えは絶対だ。,That answer is absolute.
セット,セット,set,このセットはお得です。,This set is a good deal.
愛,あい,love,愛する心は大切です。,A loving heart is important.
相変わらず,あいかわらず,"as ever, as usual",彼女は相変わらず元気だ。,She is as lively as ever.
愛情,あいじょう,"love, affection",家族への愛情を示す。,Show affection for your family.
合図,あいず,"sign, signal",合図を送って進んでください。,Signal and proceed.
アイスクリーム,アイスクリーム,ice cream,暑い日にはアイスクリームが美味しい。,Ice cream is delicious on a hot day.
愛する,あいする,to love,愛する人に感謝の気持ちを伝える。,Express gratitude to the person you love.
相手,あいて,partner; addressee; the person you are talking to,相手に敬意を払う。,Respect the other person.
あいにく,あいにく,unfortunately,あいにくの天気ですね。,"Unfortunately, the weather is bad."
遭う,あう,"to meet, to encounter (undesirable nuance)",トラブルに遭うことがあります。,You may encounter trouble.
アウト,アウト,out,サッカーの試合でアウトになった。,I was out in the soccer game.
明かり,あかり,"lamplight, light (in general)",キャンドルの明かりが部屋を照らす。,The light of the candle illuminates the room.
空き,あき,"vacancy, opening, space",店には空きがあるようです。,It seems there is an opening in the store.
明らか,あきらか,"obvious, clear",真実は明らかになる。,The truth will become clear.
諦める,あきらめる,"to give up, to abandon",一度諦めないで挑戦し続ける。,Keep challenging without giving up.
飽きる,あきる,"to get tired of, to lose interest in",同じことを何度も繰り返すと飽きてしまう。,Repeating the same thing over and over makes you bored.
握手,あくしゅ,handshake,大事な会議の後に握手を交わす。,Shake hands after an important meeting.
悪魔,あくま,"devil, demon, evil spirit",悪魔が悪いことをする。,The devil does evil things.
明ける,あける,"to dawn, to become daylight",夜が明けると新しい一日が始まる。,"When day breaks, a new day begins."
揚げる,あげる,"to lift, to fry",天ぷらを揚げて揚げたてを食べる。,Eat tempura freshly fried.
挙げる,あげる,"to raise; to list, to cite",問題の具体的な例を挙げる。,Give specific examples of the problem.
預かる,あずかる,to keep (something) for (someone),友人の貴重品を預かる。,Keep your friend's valuables for them.
預ける,あずける,"to give into custody, to deposit",荷物を預ける場所を求める。,Look for a place to deposit your luggage.
汗,あせ,"sweat, perspiration",運動後、汗をかく。,Sweat after exercising.
与える,あたえる,to give,恩返しをするとは相手に喜びを与えることだ。,To repay is to bring joy to others.
温かい,あたたかい,warm,温かい飲み物で体を温める。,Warm your body with a hot drink.
暖まる,あたたまる,to warm up,食事を食べた後、体が暖まる。,"After eating a meal, the body warms up."
温まる,あたたまる,"to warm oneself, to get warm",お風呂に入って体を温まる。,Warm up the body by taking a bath.
暖める,あたためる,"to warm (up to someone/something), to heat (up to someone/something)",寒い日には部屋を暖める必要がある。,"On cold days, it is necessary to heat up the room."
温める,あたためる,"to warm, to heat",食べ物を電子レンジで温める。,Warm up the food in the microwave.
辺り,あたり,"vicinity, nearby",家の辺りにはコンビニがある。,There is a convenience store around the house.
当たり前,あたりまえ,"usual, common, obvious",勉強ができるのは当たり前のことだ。,Studying is a matter of course.
