Kanji,Reading,Meaning,Japanese Example,English Example
炒る,いる,"to parch, to roast",材料を炒って香りを引き出す。,Parch the ingredients to bring out the aroma.
入れ物,いれもの,"container, case",食べ残しはこの入れ物に入れてください。,Please put the leftovers in this container.
インキ,インキ,ink,このペンはインキが出なくなりました。,This pen has run out of ink.
引力,いんりょく,gravity,地球の引力は物体を地面に引きつける。,The gravity of the Earth pulls objects toward the ground.
ウーマン,ウーマン,woman,彼女はキャリアウーマンだ。,She is a career woman.
ウール,ウール,wool,このセーターはウールでできている。,This sweater is made of wool.
ウエートレス,ウエートレス,waitress,レストランでウエートレスとして働く。,She works as a waitress at a restaurant.
植木,うえき,"garden shrubs, trees, potted plant",庭に植木を植える。,Plant shrubs in the garden.
飢える,うえる,to starve,人々が飢えている地域に食糧を届ける。,Deliver food to the area where people are starving.
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",水面に浮ぶ木の葉を見つけた。,Found a floating leaf on the water's surface.
浮かべる,うかべる,to float; to express,夢を浮かべながら歩いている。,Walking while daydreaming.
浮く,うく,to float,彼は水に浮くことができる。,He can float in the water.
承る,うけたまわる,"(humble) to hear, to be told, to know",ご注文を承りました。,We have received your order.
受取,うけとり,receipt,受取書をお忘れなく。,Don't forget the receipt.
受け持つ,うけもつ,to take (be in) charge of,このプロジェクトを受け持つことになりました。,I will be in charge of this project.
薄暗い,うすぐらい,"dim, gloomy",薄暗い部屋で読書する。,Read in a dimly lit room.
薄める,うすめる,"to dilute, to water down",このジュースを水で薄めてください。,Please dilute this juice with water.
打合せ,うちあわせ,"business meeting, previous arrangement",明日の打合せに備えよう。,Let's prepare for tomorrow's business meeting.
打ち消す,うちけす,"to deny, to negate",彼の意見を打ち消してしまった。,I denied his opinion.
写る,うつる,"to be photographed, to be projected",写ることを拒否した。,Refused to be photographed.
うどん,うどん,udon noodles (Japanese traditional noodles),昼食にうどんを食べた。,Had udon noodles for lunch.
うなずく,うなずく,to nod,彼はうなずいて理解した。,He nodded in understanding.
有無,うむ,"existence or nonexistence, presence of absence consent or refusal, yes or no",製品の有無を確認する。,Check for the presence or absence of the product.
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",穴を埋める前に中身を確認してください。,Please check the contents before filling the hole.
敬う,うやまう,"to show respect, to honor",先生を敬いなさい。,Show respect to the teacher.
裏返す,うらがえす,"to turn inside out, to turn (something) over",シャツを裏返して洗濯する。,Wash the shirt inside out.
裏口,うらぐち,"backdoor, rear entrance",裏口から部屋に入る。,Enter the room through the backdoor.
占う,うらなう,"to predict, to divine",将来を占ってもらいました。,Had my future predicted.
恨み,うらみ,resentment,彼に対する恨みは消えない。,The resentment towards him does not disappear.
恨む,うらむ,"to curse, to feel bitter",自分を恨んではだめだ。,Don't blame yourself.
羨む,うらやむ,to envy,友人の成功を羨んでいる。,Envious of a friend's success.
売上,うりあげ,"amount sold, proceeds",去年の売上は好調だった。,Last year's sales were strong.
売り上げ,うりあげ,"amount sold, sales, proceeds, takings, turnover",売り上げが伸びた。,Sales have increased.
売り切れ,うりきれ,sold-out,その商品はすぐに売り切れた。,That product sold out quickly.
売り切れる,うりきれる,to be sold out,コンサートチケットが売り切れる。,The concert tickets are sold out.
売行き,うれゆき,sales,売行きが好調だ。,Sales are doing well.
売れ行き,うれゆき,"sales, demand",新商品の売れ行きが好評だ。,The sales of the new product are favorable.
うろうろ,うろうろ,"loitering, aimless wandering",公園でうろうろしている。,I'm wandering around the park.
上～,うわ～,upper ~,上司との面談がある。,I have a meeting with my superior.
運河,うんが,"canal, waterway",都市には多くの運河がある。,There are many canals in the city.
うんと,うんと,"a great deal, very much",お祝いの品をうんと用意した。,I prepared a lot of gifts for the celebration.
英文,えいぶん,sentence in English,英文記事を翻訳する。,Translate the English article.
英和,えいわ,"English-Japanese (e.g., dictionary)",英和辞典を持っている。,I have an English-Japanese dictionary.
ええと,ええと,"let me see, well, er...",ええと、彼の電話番号は…。,"Um, his phone number is..."
液体,えきたい,"liquid, fluid",液体をこぼしてしまった。,I spilled the liquid.
エチケット,エチケット,etiquette,エチケットを守ることが大切だ。,It is important to observe etiquette.
絵の具,えのぐ,"colors, paints",絵の具を買いに行く。,Go buy some paints.
エプロン,エプロン,apron,料理をする時にエプロンを着る。,I wear an apron when cooking.
偉い,えらい,"great, celebrated, remarkable,",彼はとても偉い人だ。,He is a very important person.
宴会,えんかい,"party, banquet",今夜は宴会がある。,There is a party tonight.
園芸,えんげい,"horticulture, gardening",園芸が趣味だ。,Gardening is a hobby.
演劇,えんげき,play (theatrical),演劇で主役を演じる。,Act as the lead role in a play.
円周,えんしゅう,circumference,円周率を覚えておく。,Remember the value of pi.
遠足,えんそく,"trip, hike, picnic",明日は遠足に行く。,We're going on a field trip tomorrow.
延長,えんちょう,"extension, prolongation",試合の延長が決まった。,The game will go into overtime.
煙突,えんとつ,chimney,煙突から煙が出ている。,Smoke is coming out of the chimney.
オーケストラ,オーケストラ,orchestra,オーケストラが素晴らしい演奏をする。,The orchestra performs beautifully.
オートメーション,オートメーション,automation,工場でオートメーションが導入された。,Automation has been implemented in the factory.
追いかける,おいかける,to chase or run after someone,子供たちは猫を追いかけている。,The children are chasing after the cat.
追い越す,おいこす,"to pass (e.g., car), to outdistance, to outstrip",車を追い越す。,To pass a car.
オイル,オイル,oil,オイルを交換する必要がある。,The oil needs to be changed.
応援,おうえん,"aid, assistance, help, support, reinforcement cheering, rooting (for), support",友達を応援する。,Supporting a friend.
王女,おうじょ,princess,物語には美しい王女が登場する。,A beautiful princess appears in the story.
応ずる,おうずる,"to respond, to comply with",要求に応ずる。,To respond to a request.
応接,おうせつ,reception,客を応接室に案内する。,Guide the guest to the reception room.
応対,おうたい,"receiving, dealing with",お客様に丁寧な応対をする。,Provide courteous service to customers.
往復,おうふく,"(col) round trip, coming and going, return ticket",飛行機の往復チケットを買う。,Buy round-trip plane tickets.
欧米,おうべい,"Europe and America, the West",欧米文化に興味を持っている。,Interested in Western culture.
応用,おうよう,"application, put to practical use",学んだ知識を応用する。,Apply the knowledge learned.
おおざっぱ,おおざっぱ,"rough (not precise), broad, sketchy",手順をおおざっぱに教えてもらった。,I was roughly taught the procedure.
大通り,おおどおり,main street,大通りで事故があった。,There was an accident on the main street.
大凡,おおよそ,"about, approximately",大凡の時間を決めよう。,Let's decide on the approximate time.
お帰り,おかえり,"return, welcome",お帰りなさい。,Welcome back.
おかけください,おかけください,please sit down,おかけください。お茶でもどうぞ。,Please sit down. Would you like some tea?
おかげさまで,おかげさまで,"Thanks to god, thanks to you",おかげさまで元気です。,"Thanks to you, I am doing well."
おかず,おかず,"side dish, accompaniment for rice dishes",今日のおかずは何ですか？,What is today's side dish?
おかまいなく,おかまいなく,please don't fuss over me,おかまいなく。気にしないでください。,Please don't fuss over me. Don't worry about it.
拝む,おがむ,"to worship, to pray",神社で拝んできました。,I prayed at the shrine.
お代わり,おかわり,"second helping, another cup",お代わりをください。,Please give me another serving.
補う,おぎなう,to compensate for,不足を補う。,To compensate for the shortage.
お気の毒に,おきのどくに,I'm sorry to hear that…,お気の毒に。お気遣いありがとうございます。,I'm sorry to hear that. Thank you for your concern.
屋外,おくがい,outdoors,屋外で遊んでいます。,Playing outdoors.
送り仮名,おくりがな,part of word written in kana,送り仮名を付ける。,Attach okurigana.
お元気で,おげんきで,Take care',お元気で行ってらっしゃい。,Take care. Goodbye.
怠る,おこたる,"to neglect, to fail",仕事を怠るべきではない。,You should not neglect your work.
押さえる,おさえる,"to pin down, to hold down, to press down, to hold in place, to hold steady to cover (esp. a part of one's body with one's hand), to clutch (a body part in pain), to press (a body part) to get a hold of, to obtain, to seize, to catch, to arrest",急いでいる人を押さえるな。,Do not grab someone in a hurry.
お先に,おさきに,"before, after you",お先にどうぞ。,Please go ahead.
伯父,おじ,(humble) uncle (older than one's parent),伯父の家に遊びに行く。,Go visit my uncle's house.
叔父,おじ,uncle (younger than one's parent),叔父がプレゼントをくれた。,My uncle gave me a present.
惜しい,おしい,"regrettable, disappointing",そのチャンスを逃したのは惜しかった。,It was regrettable to miss that opportunity.
伯父さん,おじさん,"(hon.) middle-aged gentleman, uncle",伯父さんはよく笑う。,My uncle often laughs.
小父さん,おじさん,"(hon.) middle-aged gentleman, uncle",小父さんに会いに行く。,Go visit the old man.
叔父さん,おじさん,"(hon.) middle-aged gentleman, uncle",叔父さんは親切だ。,My uncle is kind.
お邪魔します,おじゃまします,Excuse me for disturbing you,お邪魔します。どうぞよろしく。,Excuse me for disturbing you. Nice to meet you.
お世話になりました,おせわになりました,I've been in your care,お世話になりました。ありがとうございます。,I've been in your care. Thank you very much.
お大事に,おだいじに,"Take care of yourself, Take care!, Get well soon",お大事に。早くよくなってね。,Take care. Get well soon.
落着く,おちつく,"to calm down, to settle down",揉め事は落着いた。,The dispute has been settled.
お出掛け,おでかけ,outing,お出掛けの準備をする。,Prepare for an outing.
お手伝いさん,おてつだいさん,maid,お手伝いさんに掃除をしてもらう。,Have the maid clean the house.
脅かす,おどかす,"to threaten, to coerce",子供を脅かしてはいけない。,You shouldn't scare children.
落し物,おとしもの,lost property,駅に落し物がないか確認する。,Check if there is any lost property at the station.
驚かす,おどろかす,"to surprise, to frighten",予期せずて驚かす。,To surprise unexpectedly.
お願いします,おねがいします,"Please (lit., I request)",お願いします。手伝ってください。,Please. Help me.
各々,おのおの,"each, every, either",それぞれの意見を聞く。,Listen to each person's opinion.
伯母,おば,(humble) aunt (older than one's parent),伯母の家に遊びに行く。,Go visit my aunt's house.
叔母,おば,aunt (younger than one's parent),叔母の家で誕生日パーティーを開く。,Have a birthday party at my aunt's house.
小母さん,おばさん,"lady, woman, ma'am",小母さんにお茶を淹れてもらう。,Have the lady brew tea.
おはよう,おはよう,(abbr.) Good morning,おはようございます。良い一日を。,Good morning. Have a good day.
お参り,おまいり,"worship, shrine visit",お参りに行く。神社でお参りをする。,Go pray. Pray at the shrine.
お待たせしました,おまたせしました,Sorry to have kept you waiting,お待たせしました。すみません。,Sorry to have kept you waiting. I apologize.
お待ちください,おまちください,Please wait a moment,お待ちください。少々お待ちください。,Please wait. Please wait a moment.
おまちどおさま,おまちどおさま,Sorry to have kept you waiting,おまちどおさま。お待たせしました。,Sorry to have kept you waiting. Thank you for waiting.
おめでたい,おめでたい,"happy event, matter for congratulation",友達の結婚式はおめでたい出来事だ。,My friend's wedding is a happy event.
思い掛けない,おもいがけない,"unexpected, casual",彼からのプレゼントは思い掛けないものだった。,The present from him was unexpected.
思い切り,おもいきり,"with all one's strength (heart), resignation, resolution",試合に思い切り打ってみた。,I swung with all my strength in the match.
思い込む,おもいこむ,"to be under impression that, to be convinced that",彼は私に間違ったことを思い込んでいる。,He is convinced I did something wrong.
思いっ切り,おもいっきり,"very, much, fully",思いっ切り楽しんだ一日だった。,It was a day I enjoyed to the fullest.
思いっきり,おもいっきり,to the best of one's ability,試験に思いっきり取り組んだ。,I tackled the exam to the best of my ability.
重たい,おもたい,"heavy, massive, serious",その荷物は重たくて持ち上げられない。,The luggage is heavy and I cannot lift it.
